1212121,Bellamy,Kevin,432334321,11/02/1998,2146545676,34 GreenVille Richardson TX 75080
1232123,Pescador,Charles,321668712,07/14/1999,8171216767,44 Summit Plano TX 75093
1234432,Dominguez,Johnson,543442343,04/25/2000,2813446543,"5551 Monfort, Dallas TX 75042"
1234435,Labue,Jane,234551234,10/08/1994,2143445431,"33 Preston, Allen TX 75013"
1234534,Tran,Van,432551234,12/01/1996,2145667654,1000 Coit Rd Plano TX 75075
1234567,Smith,James,123456789,03/21/1996,2147256767,123 Walnut rd Dallas TX 74243
1313131,Bluitt,Mark,654334567,03/15/1996,2812341234,222 St. Ann Allen TX 75213
1455415,Coronado,Christ,432331234,04/12/1999,9724326754,56 Campbell Rd Richardson TX 75082
2312435,Trinh,Lauren,432167654,09/05/1994,9721234444,2800 Spring Creek Plano TX 75074
2323232,Burns,Jone,321443245,09/12/1992,4603603256,1234 Plano Rd Dallas TX 75240
2345432,Neang,Williams,234556545,12/10/1997,9723334321,8109 Scott lane Plano TX 75014
2345435,Starbuck,Young,345116578,05/15/1996,8176654567,444 Legacy rd Plano TX 75025
3214566,Fan,Tiffany,765112343,07/14/2000,9721236543,"4321 Coit Rd, Plano TX 75075"
3344555,Torres,Wanner,543556712,03/21/1998,4690987654,121 Custer Rd Plano TXx 75025
3456654,Esquivel,Orlando,123554345,07/12/1999,8012345565,"43 International Rd, Dallas TX 75240"
4322344,Fitzhugh,Lauren,234554345,05/18/1997,4603126543,"232 Park Rd, Plano TX 75093"
4323433,Remschel,Tina,432115678,03/22/1996,2147653456,125 Alma rd Plano TX 75023
4343434,Bryant,Ann,234554321,07/23/1995,4681234321,4343 Goerge Prince Plano TX 75075
5225525,Cave,Steven,765665434,12/09/1995,8324541234,154 James St Arlington TX 75042
5433455,Kuykendal,Devin,231445465,11/15/1997,2145556656,"25E Parker Rd, Plano TX 75074"
5456545,Nguyen,Bob,234665456,04/20/1990,2811123455,2323 Floy Rd Richardson TX 75080
6543123,"Crowley,",Matt,123112343,05/26/1991,2143546543,"111 Jose lane, Dallas TX 75042"
6543456,Nguyen,Mary,234113265,02/28/1998,4691112345,354 Duche Allen TX 75013
7654321,Kennedy,Johnson,987654321,12/05/1992,9721234567,43 Buckingham Dallas TX 75240
7655677,Munoz,Jose,765112343,09/02/1994,2064325678,"324 Hedgecox Rd, Plano TX 75025"
